,"Degree-Seeking, First-Time, First Year","Degree-Seeking, Undergraduates (include first-time, first-year)","Total Undergraduates (both degree- and
non-degree-seeking)"
Nonresident aliens,38,133,
Hispanic/Latino,28,137,
"Black or African American, non-Hispanic",21,67,
"White, non-Hispanic",316,1261,
"American Indian or Alaska Native, non-Hispanic",0,1,
"Asian, non-Hispanic",16,79,
"Native Hawaiian or other Pacific Islander, non-
Hispanic",0,1,
"Two or more races, non-Hispanic",22,61,
Race and/or ethnicity unknown,3,26,
Total,444,1766,
