,FALL 2013,FALL 2014,FALL 2015,FALL 2016,FALL 2017
women,0.6,0.62,0.63,0.63,0.63
men,0.4,0.38,0.37,0.37,0.37
white,0.7,0.72,0.71,0.7,0.71
U.S. students of color,0.19,0.18,0.2,0.2,0.2
Unknown race and ethnicity,0.06,0.05,0.03,0.03,0.01
Nonresident alien,0.05,0.05,0.06,0.07,0.07
